text,label,sentiment,new_sentiment
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,negative,negativo
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,2,positive,positivo
K tell me anything about you.,1,neutral,negativo
For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,negative,positivo
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,0,negative,negativo
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,2,positive,negativo
"Oops, I'll let you know when my roommate's done",1,neutral,negativo
I see the letter B on my car,1,neutral,negativo
Anything lor... U decide...,3,informal,negativo
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,3,informal,negativo
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,4,compliment,positivo
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",4,compliment,positivo
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,0,negative,negativo
WHO ARE YOU SEEING?,1,neutral,negativo
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,4,compliment,positivo
No calls..messages..missed calls,1,neutral,negativo
Didn't you get hep b immunisation in nigeria.,1,neutral,negativo
"Fair enough, anything going on?",2,positive,negativo
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",2,positive,negativo
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,3,informal,positivo
What you thinked about me. First time you saw me in class.,1,neutral,positivo
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",2,positive,negativo
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,1,neutral,negativo
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",4,compliment,negativo
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,0,negative,negativo
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,1,neutral,negativo
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",0,negative,positivo
"Sorry, I'll call later in meeting.",1,neutral,negativo
Tell where you reached,1,neutral,positivo
Yes..gauti and sehwag out of odi series.,1,neutral,positivo
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,negative,negativo
Ha ha ha good joke. Girls are situation seekers.,4,compliment,negativo
Its a part of checking IQ,1,neutral,negativo
"Sorry my roommates took forever, it ok if I come by now?",2,positive,negativo
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,2,positive,negativo
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",0,negative,positivo
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",3,informal,negativo
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",0,negative,negativo
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",0,negative,negativo
I plane to give on this month end.,1,neutral,positivo
Wah lucky man... Then can save money... Hee...,0,negative,negativo
Finished class where are you.,1,neutral,positivo
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,3,informal,positivo
K..k:)where are you?how did you performed?,1,neutral,negativo
U can call me now...,3,informal,positivo
I am waiting machan. Call me once you free.,0,negative,negativo
Thats cool. i am a gentleman and will treat you with dignity and respect.,2,positive,positivo
I like you peoples very much:) but am very shy pa.,1,neutral,positivo
Does not operate after  &lt;#&gt;  or what,1,neutral,negativo
Its not the same here. Still looking for a job. How much do Ta's earn there.,1,neutral,negativo
"Sorry, I'll call later",1,neutral,negativo
K. Did you call me just now ah?,1,neutral,negativo
Ok i am on the way to home hi hi,3,informal,positivo
You will be in the place of that man,1,neutral,positivo
Yup next stop.,1,neutral,negativo
"I call you later, don't have network. If urgnt, sms me.",1,neutral,negativo
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,3,informal,negativo
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,negative,negativo
I'm really not up to it still tonight babe,1,neutral,negativo
"Ela kano.,il download, come wen ur free..",0,negative,negativo
Yeah do! Don‘t stand to close tho- you‘ll catch something!,3,informal,positivo
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,2,positive,negativo
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,3,informal,positivo
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,0,negative,negativo
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,3,informal,negativo
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",0,negative,negativo
Watching telugu movie..wat abt u?,3,informal,negativo
i see. When we finish we have loads of loans to pay,1,neutral,positivo
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",3,informal,negativo
I see a cup of coffee animation,1,neutral,positivo
Please don't text me anymore. I have nothing else to say.,2,positive,negativo
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,3,informal,negativo
I'm still looking for a car to buy. And have not gone 4the driving test yet.,1,neutral,negativo
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,2,positive,negativo
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",2,positive,positivo
Umma my life and vava umma love you lot dear,4,compliment,positivo
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,4,compliment,positivo
"Aight, I'll hit you up when I get some cash",0,negative,positivo
How would my ip address test that considering my computer isn't a minecraft server,1,neutral,negativo
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,2,positive,positivo
Dont worry. I guess he's busy.,2,positive,negativo
What is the plural of the noun research?,1,neutral,negativo
Going for dinner.msg you after.,1,neutral,positivo
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,3,informal,positivo
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,0,negative,positivo
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",3,informal,negativo
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",3,informal,positivo
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),0,negative,negativo
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,2,positive,positivo
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,1,neutral,negativo
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,0,negative,negativo
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",0,negative,negativo
here is my new address -apples&pairs&all that malarky,1,neutral,negativo
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,0,negative,negativo
I am going to sao mu today. Will be done only at 12,1,neutral,positivo
Ü predict wat time ü'll finish buying?,1,neutral,negativo
"Good stuff, will do.",4,compliment,positivo
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,negative,negativo
Are you there in room.,1,neutral,positivo
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,3,informal,negativo
K..k:)how much does it cost?,1,neutral,negativo
I'm home.,1,neutral,positivo
"Dear, will call Tmorrow.pls accomodate.",2,positive,negativo
First answer my question.,1,neutral,negativo
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,0,negative,positivo
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,0,negative,negativo
I only haf msn. It's yijue@hotmail.com,0,negative,negativo
He is there. You call and meet him,1,neutral,positivo
No no. I will check all rooms befor activities,0,negative,negativo
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,0,negative,negativo
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,2,positive,negativo
"K, text me when you're on the way",1,neutral,positivo
"Sir, Waiting for your mail.",1,neutral,negativo
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",1,neutral,negativo
I know you are. Can you pls open the back?,1,neutral,negativo
Yes see ya not on the dot,2,positive,negativo
Whats the staff name who is taking class for us?,1,neutral,negativo
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",0,negative,positivo
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,2,positive,negativo
K..i deleted my contact that why?,1,neutral,negativo
Sindu got job in birla soft ..,1,neutral,positivo
The wine is flowing and i'm i have nevering..,1,neutral,positivo
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,2,positive,negativo
Ok... Ur typical reply...,3,informal,positivo
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,2,positive,negativo
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",2,positive,positivo
Aaooooright are you at work?,1,neutral,negativo
I'm leaving my house now...,1,neutral,negativo
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",4,compliment,positivo
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,0,negative,negativo
You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,0,negative,negativo
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,1,neutral,positivo
New car and house for my parents.:)i have only new job in hand:),1,neutral,negativo
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,4,compliment,positivo
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,0,negative,negativo
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",0,negative,negativo
I place all ur points on e cultures module already.,3,informal,negativo
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,0,negative,negativo
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",4,compliment,negativo
Great escape. I fancy the bridge but needs her lager. See you tomo,4,compliment,negativo
Yes :)it completely in out of form:)clark also utter waste.,1,neutral,negativo
"Sir, I need AXIS BANK account no and bank address.",1,neutral,negativo
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",0,negative,negativo
What time you coming down later?,1,neutral,negativo
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",3,informal,negativo
"Well, i'm gonna finish my bath now. Have a good...fine night.",4,compliment,positivo
Let me know when you've got the money so carlos can make the call,0,negative,negativo
U still going to the mall?,3,informal,negativo
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0,negative,negativo
Text her. If she doesnt reply let me know so i can have her log in,1,neutral,negativo
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0,negative,positivo
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0,negative,negativo
Lol no. U can trust me.,3,informal,negativo
ok. I am a gentleman and will treat you with dignity and respect.,2,positive,positivo
"He will, you guys close?",1,neutral,positivo
Going on nothing great.bye,1,neutral,negativo
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,2,positive,negativo
"Haha awesome, be there in a minute",4,compliment,positivo
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,0,negative,negativo
Have you got Xmas radio times. If not i will get it now,1,neutral,negativo
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,3,informal,negativo
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,0,negative,positivo
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,4,compliment,positivo
Hi :)finally i completed the course:),3,informal,positivo
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,1,neutral,negativo
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,2,positive,positivo
Gud mrng dear hav a nice day,2,positive,positivo
Did u got that persons story,3,informal,negativo
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,3,informal,negativo
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,3,informal,negativo
"Found it, ENC  &lt;#&gt; , where you at?",1,neutral,positivo
I sent you  &lt;#&gt;  bucks,1,neutral,positivo
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,4,compliment,positivo
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,2,positive,positivo
Goodmorning sleeping ga.,1,neutral,positivo
U call me alter at 11 ok.,3,informal,positivo
Ü say until like dat i dun buy ericsson oso cannot oredi lar...,2,positive,negativo
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",3,informal,positivo
"Aight yo, dats straight dogg",1,neutral,negativo
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,2,positive,negativo
Both :) i shoot big loads so get ready!,2,positive,positivo
"What's up bruv, hope you had a great break. Do have a rewarding semester.",4,compliment,positivo
Home so we can always chat,1,neutral,positivo
K:)k:)good:)study well.,4,compliment,positivo
Yup... How ü noe leh...,1,neutral,negativo
Sounds great! Are you home now?,4,compliment,positivo
Finally the match heading towards draw as your prediction.,1,neutral,positivo
Tired. I haven't slept well the past few nights.,0,negative,negativo
Easy ah?sen got selected means its good..,4,compliment,positivo
I have to take exam with march 3,1,neutral,negativo
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,2,positive,positivo
Ok no prob. Take ur time.,3,informal,negativo
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,1,neutral,negativo
"Sorry, I'll call later",1,neutral,negativo
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,3,informal,negativo
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",0,negative,negativo
Would really appreciate if you call me. Just need someone to talk to.,4,compliment,positivo
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",0,negative,negativo
Hey company elama po mudyadhu.,3,informal,positivo
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",2,positive,positivo
Dear good morning now only i am up,4,compliment,positivo
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,1,neutral,positivo
Dear we are going to our rubber place,2,positive,positivo
"Sorry battery died, yeah I'm here",0,negative,positivo
Yes:)here tv is always available in work place..,1,neutral,positivo
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,0,negative,negativo
I have printed it oh. So  &lt;#&gt;  come upstairs,1,neutral,negativo
Or ill be a little closer like at the bus stop on the same street,0,negative,negativo
Where are you?when wil you reach here?,1,neutral,negativo
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",3,informal,negativo
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,0,negative,negativo
Tomarrow final hearing on my laptop case so i cant.,1,neutral,negativo
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,1,neutral,negativo
"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",2,positive,positivo
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",3,informal,positivo
U don't remember that old commercial?,3,informal,negativo
Too late. I said i have the website. I didn't i have or dont have the slippers,1,neutral,negativo
I asked you to call him now ok,2,positive,positivo
Kallis wont bat in 2nd innings.,1,neutral,positivo
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,4,compliment,negativo
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,0,negative,positivo
Ranjith cal drpd Deeraj and deepak 5min hold,1,neutral,positivo
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",3,informal,negativo
What you doing?how are you?,1,neutral,negativo
"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",0,negative,negativo
"I'm back, lemme know when you're ready",2,positive,positivo
Don't necessarily expect it to be done before you get back though because I'm just now headin out,1,neutral,positivo
Mmm so yummy babe ... Nice jolt to the suzy,2,positive,positivo
Where are you lover ? I need you ...,2,positive,positivo
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,0,negative,negativo
I‘m parked next to a MINI!!!! When are you coming in today do you think?,3,informal,positivo
Yup,1,neutral,positivo
Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,3,informal,negativo
MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,3,informal,negativo
Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,0,negative,negativo
Why you Dint come with us.,1,neutral,negativo
Same. Wana plan a trip sometme then,1,neutral,negativo
"Not sure yet, still trying to get a hold of him",1,neutral,negativo
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,0,negative,negativo
The evo. I just had to download flash. Jealous?,0,negative,negativo
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,0,negative,negativo
"Come to mu, we're sorting out our narcotics situation",1,neutral,negativo
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",2,positive,positivo
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,0,negative,negativo
"Usf I guess, might as well take 1 car",1,neutral,negativo
No objection. My bf not coming.,1,neutral,negativo
Thanx...,1,neutral,positivo
Tell rob to mack his gf in the theater,0,negative,negativo
"Awesome, I'll see you in a bit",4,compliment,positivo
Just sent it. So what type of food do you like?,2,positive,positivo
All done? All handed in? Celebrations in full swing yet?,1,neutral,negativo
You got called a tool?,1,neutral,negativo
"""Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch"" gdeve..",3,informal,positivo
Ok. I asked for money how far,0,negative,positivo
Okie...,1,neutral,positivo
"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",1,neutral,negativo
"K, I might come by tonight then if my class lets out early",1,neutral,negativo
Ok..,2,positive,positivo
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,4,compliment,negativo
"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",0,negative,positivo
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",4,compliment,positivo
Hey you told your name to gautham ah?,3,informal,negativo
Haf u found him? I feel so stupid da v cam was working.,3,informal,negativo
Oops. 4 got that bit.,1,neutral,positivo
Are you this much buzy,1,neutral,negativo
I accidentally deleted the message. Resend please.,1,neutral,negativo
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,0,negative,negativo
Unless it's a situation where YOU GO GURL would be more appropriate,1,neutral,negativo
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,3,informal,negativo
I cant pick the phone right now. Pls send a message,1,neutral,negativo
Need a coffee run tomo?Can't believe it's that time of week already,1,neutral,negativo
"Awesome, I remember the last time we got somebody high for the first time with diesel :V",4,compliment,positivo
"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",3,informal,negativo
Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?,1,neutral,negativo
He is a womdarfull actor,1,neutral,positivo
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",0,negative,negativo
Yup... From what i remb... I think should be can book...,1,neutral,negativo
Jos ask if u wana meet up?,3,informal,negativo
Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,3,informal,negativo
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",0,negative,positivo
Where are the garage keys? They aren't on the bookshelf,1,neutral,negativo
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,3,informal,negativo
"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",0,negative,negativo
He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,0,negative,negativo
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",3,informal,negativo
You made my day. Do have a great day too.,4,compliment,positivo
K.k:)advance happy pongal.,2,positive,positivo
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",3,informal,negativo
